Number	Name	IsActive			
0550	POPRAVEK VREDNOSTI DRUGIH OPREDMETRENIH OSNOVNIH SREDSTEV	 Da			
0551	POPRAVEK VREDNOSTI DRUGIH OPREDMETRENIH OSNOVNIH SREDSTEV-LEASING	 Da			
056	POPRAVEK VREDNOSTI VLAGANJ V OPREDMETENA OSNOVNA SREDSTVA V TUJI LASTI	 Da			
058	OSLABITEV VREDNOSTI BIOLOŠKIH SREDSTEV	 Da			
059	OSLABITEV VREDNOSTI DRUGIH OPREDMETENIH OSNOVNIH SREDSTEV	 Da			
06	DOLGOROČNE FINANČNE NALOŽBE, RAZEN POSOJIL	  			
060	DOLGOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽEORGANIZACIJ V SKUPINI, RAZPOREJENE IN IZMERJENE PO NABAVNI VREDNOSTI	 Da			
0600	DOLGOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽE DRUŽB V SKUPINI, RAZPOREJENE IN IZMERJENE PO NABAVNI VREDNOSTI	 Da			
063	DOLGOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽE PRIDRUŽENIH ORGANIZACIJ IN SKUPAJ OBVLADOVANIH ORGANIZACIJ, RAZPOREJENE IN IZMERJENE PO NABAVNI VREDNOSTI	 Da			
066	DRUGE DOLGOROČNE FINANČNE NALOŽBE, RAZPOREJENE IN IZMERJENE PO NABAVNI VREDNOSTI	 Da			
0660	DRUGE DOLGOROČNE FINANČNE NALOŽBE, RAZPOREJENE IN IZMERJENE PO NABAVNI VREDNOSTI	 Da			
061	DOLGOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽE DRUŽB V SKUPINI, RAZPOREJENE IN IZMERJENE PO POŠTENI VREDNOSTI PREK POSLOVNEGA IZIDA	 Da	  		  
062	DOLGOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽE DRUŽB V SKUPINI, RAZPOREJENE IN IZMERJENE PO POŠTENI VREDNOSTI PREK KAPITALA	 Da	  		  
063	DOLGOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽE PRIDRUŽENIH DRUŽB IN SKUPAJ OBVLADOVANIH DRUŽB, RAZPOREJENE IN IZMERJENE PO NABAVNI VREDNOSTI	 Da	  		  
064	DOLGOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽE PRIDRUŽENIH DRUŽB IN SKUPAJ OBVLADOVANIH DRUŽB, RAZPOREJENE IN IZMERJENE PO POŠTENI VREDNOSTI PREK POSLOVNEGA IZIDA	 Da	  		  
065	DOLGOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽE PRIDRUŽENIH DRUŽB IN SKUPAJ OBVLADOVANIH DRUŽB, RAZPOREJENE IN IZMERJENE PO POŠTENI VREDNOSTI PREK KAPITALA	 Da	  		  
066	DRUGE DOLGOROČNE FINANČNE NALOŽBE, RAZPOREJENE IN IZMERJENE PO NABAVNI VREDNOSTI	 Da	  		  
067	DRUGE DOLGOROČNE FINANČNE NALOŽBE, RAZPOREJENE IN IZMERJENE PO POŠTENI VREDNOSTI PREK POSLOVNEGA IZIDA	 Da			
068	DRUGE DOLGOROČNE FINANČNE NALOŽBE, RAZPOREJENE IN IZMERJENE PO POŠTENI VREDNOSTI PREK KAPITALA OZIROMA LASTNEGA VIRA SREDSTEV	 Da			
069	OSLABITEV VREDNOSTI DOLGOROČNIH FINANČNIH NALOŽB	 Da			
07	DANA DOLGOROČNA POSOJILA IN TERJATVE ZA NEVPLAČANI VPOKLICANI KAPITAL	  			
070	DOLGOROČNA POSOJILA, DANA NA PODLAGI POSOJILNIH POGODBORGANIZACIJAM V SKUPINI, VKLJUČNO Z DOLGOROČNIMI TERJATVAMI IZ FINANČNEGA NAJEMA	 Da			
071	DOLGOROČNA POSOJILA, DANA NA PODLAGI POSOJILNIH POGODB PRIDRUŽENIM ORGANIZACIJAM IN SKUPAJ OBVLADOVANIM ORGANIZACIJAM, VKLJUČNO Z DOLGOROČNIMI TERJATVAMI FINANČNEGA NAJEMA	 Da			
072	DOLGOROČNA POSOJILA, DANA DRUGIM, VKLJUČNO Z DOLGOROČNIMI TERJATVAMI IZ FINANČNEGA NAJEMA	 Da			
0720	DOLGOROČNA POSOJILA, DANA DRUGIM, VKLJUČNO Z DOLGOROČNIMI TERJATVAMI IZ FINANČNEGA NAJEMA	 Da			
073	DOLGOROČNA POSOJILA, DANA Z ODKUPOM OBVEZNIC OD DRUŽB V SKUPINI	 Da			
074	DOLGOROČNA POSOJILA, DANA Z ODKUPOM OBVEZNIC OD PRIDRUŽENIH ORGANIZACIJ IN SKUPAJ OBVLADOVANIH ORGANIZACIJ	 Da			
075	DOLGOROČNA POSOJILA, DANA Z ODKUPOM OBVEZNIC OD DRUGIH	 Da			
076	DOLGOROČNE TERJATVE ZA NEVPLAČANI VPOKLICANI KAPITAL	 Da			
077	DRUGA DOLGOROČNO VLOŽENA SREDSTVA	 Da			
078	DANI DOLGOROČNI DEPOZITI	 Da			
079	OSLABITEV VREDNOSTI DANIH DOLGOROČNIH POSOJIL	 Da			
08	DOLGOROČNE POSLOVNE TERJATVE	  			
080	DOLGOROČNI BLAGOVNI KREDITI, DANI V DRŽAVI	 Da			
081	DOLGOROČNI BLAGOVNI KREDITI, DANI V TUJINI	 Da			
082	DANI DOLGOROČNI POTROŠNIŠKI KREDITI	 Da			
083	DANI DOLGOROČNI PREDUJMI	 Da			
084	DANE DOLGOROČNE VARŠČINE	 Da			
086	DRUGE DOLGOROČNE POSLOVNE TERJATVE	 Da			
0860	DRUGE DOLGOROČNE POSLOVNE TERJATVE	 Da			
089	OSLABITEV VREDNOSTI DOLGOROČNIH POSLOVNIH TERJATEV	 Da			
09	ODLOŽENE TERJATVE ZA DAVEK	  			
090	ODLOŽENE TERJATVE ZA DAVEK IZ ODBITNIH ZAČASNIH RAZLIK	 Da			
091	ODLOŽENE TERJATVE ZA DAVEK IZ NEIZRABLJENIH DAVČNIH IZGUB, PRENESENIH V NASLEDNJA DAVČNA OBDOBJA	 Da			
0919	TERJATVE NA LASTNIŠKEM RAČUNU	 Da			
092	ODLOŽENE TERJATVE ZA DAVEK IZ DAVČNIH DOBROPISOV, PRENESENIH V NASLEDNJA DAVČNA OBDOBJA	 Da			
1	KRATKOROČNA SREDSTVA, RAZEN ZALOG, IN KRATKOROČNE AKTIVNE ČASOVNE RAZMEJITVE	  			
10	DENARNA SREDSTVA V BLAGAJNI IN TAKOJ UDENARLJIVI VREDNOSTNI PAPIRJI	  			
100	DENARNA SREDSTVA NA RAČUNIH, RAZEN DEVIZNIH	 Da			
1000	DENARNA SREDSTVA V BLAGAJNI	 Da			
1001	POMOŽNA BLAGAJNA	 Da	  		  
1009	PREHODNA BLAGAJNA	 Da	  		  
101	DEVIZNA SREDSTVA V BLAGAJNI	 Da			
102	IZDANI ČEKI (ODBITNA POSTAVKA)	 Da			
103	PREJETI ČEKI	 Da			
1030	PREJETI ČEKI	 Da			
104	NETVEGANI TAKOJ UDENARLJIVI DOLŽNIŠKI VREDNOSTNI PAPIRJI	 Da			
1040	NETVEGANI TAKOJ UDENARLJIVI DOLŽNIŠKI VREDNOSTNI PAPIRJI	 Da			
109	DENAR NA POTI	 Da			
1090	DENAR NA POTI	 Da			
11	DOBROIMETJE PRI BANKAH IN DRUGIH FINANČNIH INŠTITUCIJAH	  			
110	DENARNA SREDSTVA NA RAČUNIH, RAZEN DEVIZNIH	 Da			
1100	DENARNA SREDSTVA NA RAČUNIH-PBS	 Da			
1101	DENARNA SREDSTVA NA RAČUNIH-NKBM	 Da			
1102	DENARNA SREDSTVA NA RAČUNIH-XX	 Da			
1109	PREHODNI KONTO ZA NERAZPOREJENA PLAČILA	 Da			
11091	DOGOVORNE KOMPENZACIJE - PREHODNI KONTO	 Da	  		  
11092	DOGOVORNE KOMPENZACIJE - OBVEZNI POBOT	 Da	  		  
111	KRATKOROČNI DEPOZITI OZIROMA DEPOZITI NA ODPOKLIC, RAZEN DEVIZNIH	 Da			
1110	DEPOZITI NA ODPOKLIC	 Da			
112	DEVIZNA SREDSTVA NA RAČUNIH	 Da			
1120	DEVIZNA SREDSTVA NA RAČUNIH	 Da			
1129	DEVIZNA SREDSTVA NA RAČUNIH - PREHODNI KONTO	 Da	  		  
113	KRATKOROČNI DEVIZNI DEPOZITI OZIROMA DEVIZNI DEPOZITI NA ODPOKLIC	 Da			
114	DENARNA SREDSTVA NA POSEBNIH RAČUNIH OZIROMA ZA POSEBNE NAMENE	 Da			
12	KRATKOROČNE TERJATVE DO KUPCEV	  			
120	KRATKOROČNE TERJATVE DO KUPCEV V DRŽAVI	 Da			
1200	TERJATEV DO KUPCEV V DRŽAVI	 Da			
1201	KRATKOROČNE TERJATVE DO KUPCEV MALOPRODAJA	 Da	  		  
1202	KRATKOROČNE TERJARVE DO KUPCEV PROIZV.DOMA	 Da	  		  
1209	TERJATEV DO KUPCEV V DRŽAVI-SPORNO	 Da			
121	KRATKOROČNE TERJATVE DO KUPCEV V TUJINI	 Da			
1210	TERJATEV DO KUPCEV V TUJINI	 Da			
122	KRATKOROČNI BLAGOVNI KREDITI, DANI KUPCEM V DRŽAVI	 Da			
123	KRATKOROČNI BLAGOVNI KREDITI, DANI KUPCEM V TUJINI	 Da			
124	KRATKOROČNI POTROŠNIŠKI KREDITI, DANI KUPCEM V DRŽAVI	 Da			
125	KRATKOROČNET TERJATVE DO ČLANOV	 Da			
126	KRATKOROČNE TERJATVE ZA NEZARAČUNANO BLAGO IN STORITVE	 Da			
129	OSLABITEV VREDNOSTI KRATKOROČNIH TERJATEV DO KUPCEV	 Da			
1290	OSLABITEV VREDNOSTI KRATKOROČNIH TERJATEV DO KUPCEV	 Da			
13	DANI KRATKOROČNI PREDUJMI IN VARŠČINE	  			
130	KRATKOROČNI PREDUJMI, DANI ZA OPREDMETENA OSNOVNA SREDSTVA	 Da			
1300	PREDUJMI,DANI ZA OPREDMETENA OSNOVNA SREDSTVA	 Da			
131	KRATKOROČNI PREDUJMI, DANI ZA NEOPREDMETENA OSNOVNA SREDSTVA	 Da			
1310	PREDUJMI,DANI ZA NEOPREDMETENA OSNOVNA SREDSTVA	 Da			
132	KRATKOROČNI PREDUJMI, DANI ZA ZALOGE MATERIALA IN BLAGA TER ŠE NE OPRAVLJENE STORITVE	 Da			
1320	PREDUJMI,DANI ZA ZALOGE BLAGA IN MATERIALA TER STORITVE	 Da			
133	DRUGI DANI KRATKOROČNI PREDUJMI IN PREPLAČILA	 Da			
1330	DRUGI DANI  PREDUJMI IN PREPLAČILA	 Da			
134	DANE KRATKOROČNE VARŠČINE	 Da			
1340	DANE  VARŠČINE	 Da			
139	OSLABITEV VREDNOSTI DANIH KRATKOROČNIH PREDUJMOV, PREPLAČIL IN VARŠČIN	 Da			
14	KRATKOROČNE TERJATVE IZ POSLOVANJA ZA TUJ RAČUN	  			
140	KRATKOROČNE TERJATVE DO IZVOZNIKOV	 Da			
141	KRATKOROČNE TERJATVE IZ UVOZA ZA TUJ RAČUN	 Da			
142	KRATKOROČNE TERJATVE IZ KOMISIJSKE IN KONSIGNACIJSKE PRODAJE	 Da			
145	DRUGE KRATKOROČNE TERJATVE IZ POSLOVANJA ZA TUJ RAČUN	 Da			
149	OSLABITEV VREDNOSTI KRATKOROČNIH TERJATEV IZ POSLOVANJA ZA TUJ RAČUN	 Da			
15	KRATKOROČNE TERJATVE, POVEZANE S FINANČNIMI PRIHODKI	  			
150	KRATKOROČNE TERJATVE ZA OBRESTI	 Da			
1500	TERJATVE ZA OBRESTI	 Da			
151	KRATKOROČNE TERJATVE ZA DIVIDENDE	 Da			
1510	KRATKOROČNE TERJATVE ZA DIVIDENDE	 Da			
152	KRATKOROČNE TERJATVE ZA DRUGE DELEŽE V DOBIČKU	 Da			
155	DRUGE KRATKOROČNE TERJATVE, POVEZANE S FINANČNIMI PRIHODKI	 Da			
159	OSLABITEV VREDNOSTI KRATKOROČNIH TERJATEV, POVEZANIH S FINANČNIMI PRIHODKI	 Da			
16	DRUGE KRATKOROČNE TERJATVE	  			
160	KRATKOROČNE TERJATVE ZA ODBITNI DDV 	 Da			
1600	KRATKOROČNE TERJATVE ZA ODBITNI DDV	 Da			
1601	KRATKOROČNE TERJATVE ZA ODBITNI DDV 22 %	 Da			
1602	KRATKOROČNE TERJATVE ZA ODBITNI DDV 9.5 %	 Da			
1603	KRATKOROČNE TERJ. PAVŠALNO NADOMESTILO	 Da			
1604	KRATKOROČNE TERJATVE ZA ODBITNI DDV V PREDPLAČILIH 22%	 Da			
1605	KRATKOROČNE TERJATVE ZA ODBITNI DDV V PREDPLAČILIH 9.5 %	 Da	  		  
1606	KRATKOROČNE TERJATVE ZA ODBITNI DDV - UVOZ 22 %	 Da	  		  
1607	TERJATVE ZA VSTOPNI DDV ZA DAVČNO OBDOBJE	 Da			
1608	TERJATVE ZA VRAČILO RAZLIKE MED VSTOPNIM IN OBRAČUNANIM DDV ZA DAVČNO OBDOBJE	 Da			
161	KRATKOROČNE TERJATVE ZA DAVEK OD DOHODKOV PRAVNIH OSEB, VKLJUČNO Z DAVKOM, PLAČANIM V TUJINI	 Da			
1610	TERJATVE ZA DAVEK OD DOHODKOV PRAVNIH OSEB, VKLJUČNO Z DAVKOM, PLAČANIM V TUJINI	 Da			
16160	KRATKOROČNE TERJATVE ZA BRUTO REFUNDIRANE PLAČE	 Da			
162	KRATKOROČNE TERJATVE ZD DOHODNINO OD DOHODKA IZ DEJAVNOSTI S.P., VKLJUČNO Z DAVKOM PLAČANIM V TUJINI	 Da			
164	DRUGE KRATKOROČNE TERJATVE DO DRŽAVNIH IN DRUGIH INŠTITUCIJ	 Da			
165	OSTALE KRATKOROČNE TERJATVE	 Da			
1650	TERJATVE DO ZAPOSLENIH IZ NASLOVA PREDUJMOV ZA POTNE STROŠKE	 Da			
1651	TERJATVE IZ NASLOVA PLAČILNIH KARTIC PO DNEVNEM IZTRŽKU	 Da			
1652	TERJATVE IZ NASLOVA VRNJENEGA BLAGA DOBAVITELJEM	 Da			
1659	OSTALE KRATKOROČNE TERJATVE	 Da			
166	KRATKOROČNE TERJATVE ZA DDV, VRNJEN TUJCEM	 Da			
167	KRATKOROČNE TERJATVE ZA DDV, PLAČAN V TUJINI	 Da			
169	OSLABITEV VREDNOSTI DRUGIH KRATKOROČNIH TERJATEV	 Da			
1690	OSLABITEV VREDNOSTI DRUGIH KRATKOROČNIH TERJATEV	 Da			
17	KRATKOROČNE FINANČNE NALOŽBE, RAZEN POSOJIL	  			
170	KRATKOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽE ORGANIZACOJ V SKUPINI, RAZPOREJENE IN IZMERJENE PO NABAVNI VREDNOSTI	 Da			
171	KRATKOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽE DRUŽB V SKUPINI, ZRAZPOREJENI IN IZMERJENE PO POŠTENI VREDNOSTI PREK POSLOVNEGA IZIDA	 Da	  		  
172	KRATKOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽE DRUŽB V SKUPINI, ZRAZPOREJENI IN IZMERJENE PO POŠTENI VREDNOSTI PREK KAPITALA	 Da	  		  
173	KRATKOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽE PRIDRUŽENIH ORGANIZACIJIN SKUPAJ OBVLADOVANIH ORGANIZACIJ, RAZPOREJENE IN IZMERJENE PO NABAVNI VREDNOSTI	 Da			
