CodeInternational	Code	Name	CountryN3Code
SI-2250	2250	Ptuj	705
SI-2252	2252	Dornava	705
SI-2253	2253	Destrnik	705
SI-2254	2254	Trnovska vas	705
SI-2255	2255	Vitomarci	705
SI-2256	2256	Juršinc	705
SI-2257	2257	Polenšak	705
SI-2258	2258	Sveti Tomaž	705
SI-2259	2259	Ivanjkovci	705
SI-2270	2270	Ormož	705
SI-2272	2272	Gorišnica	705
SI-2273	2273	Podgorci	705
SI-2274	2274	Velika Nedelja	705
SI-2275	2275	Miklavž pri Ormožu	705
SI-2276	2276	Kog	705
SI-2277	2277	Središče ob Dravi	705
SI-2281	2281	Markovci	705
SI-2282	2282	Cirkulane	705
SI-2283	2283	Zavrč	705
SI-2284	2284	Videm pri Ptuju	705
SI-2285	2285	Zgornji Leskovec	705
SI-2286	2286	Podlehnik	705
SI-2287	2287	Žetale	705
SI-2288	2288	Hajdina	705
SI-2289	2289	Stoperce	705
SI-2310	2310	Slovenska Bistrica	705
SI-2311	2311	Hoče	705
SI-2312	2312	Orehova vas	705
SI-2313	2313	Fram	705
SI-2314	2314	Zgornja Polskava	705
SI-2315	2315	Šmartno na Pohorju	705
SI-2316	2316	Zgornja Ložnica	705
SI-2317	2317	Oplotnica	705
SI-2318	2318	Laporje	705
SI-2319	2319	Poljčane	705
SI-2321	2321	Makole	705
SI-2322	2322	Majšperk	705
SI-2323	2323	Ptujska Gora	705
SI-2324	2324	Lovrenc na Dravskem polju	705
SI-2325	2325	Kidričevo	705
SI-2326	2326	Cirkovce	705
SI-2327	2327	Rače	705
SI-2331	2331	Pragersko	705
SI-2341	2341	Limbuš	705
SI-2342	2342	Ruše	705
SI-2343	2343	Fala	705
SI-2344	2344	Lovrenc na Pohorju	705
SI-2345	2345	Bistrica ob Dravi	705
SI-2351	2351	Kamnica	705
SI-2352	2352	Selnica ob Dravi	705
SI-2353	2353	Sveti Duh na Ostrem Vrhu	705
SI-2354	2354	Bresternica	705
SI-2360	2360	Radlje ob Dravi	705
SI-2361	2361	Ožbalt	705
SI-2362	2362	Kapla	705
SI-2363	2363	Podvelka	705
SI-2364	2364	Ribnica na Pohorju	705
SI-2365	2365	Vuhred	705
SI-2366	2366	Muta	705
SI-2367	2367	Vuzenica	705
SI-2370	2370	Dravograd	705
SI-2371	2371	Trbonje	705
SI-2372	2372	Libeliče	705
SI-2373	2373	Šentjanž pri Dravogradu	705
SI-2380	2380	Slovenj Gradec	705
SI-2381	2381	Podgorje pri Slovenj Gradcu	705
SI-2382	2382	Mislinja	705
SI-2383	2383	Šmartno pri Slovenj Gradcu	705
SI-2390	2390	Ravne na Koroškem	705
SI-2391	2391	Prevalje	705
SI-2392	2392	Mežica	705
SI-2393	2393	Črna na Koroškem	705
SI-2394	2394	Kotlje	705
SI-2500	2500	Pošta Slovenije, uprava	705
SI-2501	2501	Upravna enota Maribor	705
SI-2502	2502	DURS, Davčni urad Maribor	705
SI-2503	2503	Okrajno in okrožno sodišče v Mariboru	705
SI-2504	2504	Večer	705
SI-2505	2505	Nova Kreditna banka Maribor	705
SI-2506	2506	Henkel Slovenija	705
SI-2507	2507	Zavarovalnica Maribor	705
SI-2509	2509	Elektro Maribor	705
SI-2600	2600	Pošta Slovenije, PE Maribor	705
SI-2603	2603	Pošta Slovenije, PE PLC Maribor, Centralno skladišče	705
SI-2609	2609	Pošta Slovenije, PE PLC Maribor, Paketni ekspedit 	705
SI-2610	2610	Pošta Slovenije, Centralna RA pisarna	705
SI-3000	3000	Celje 	705
SI-3001	3001	Celje - P.P.	705
SI-3201	3201	Šmartno v Rožni dolini	705
SI-3202	3202	Ljubečna	705
SI-3203	3203	Nova Cerkev	705
SI-3204	3204	Dobrna	705
SI-3205	3205	Vitanje	705
SI-3206	3206	Stranice	705
SI-3210	3210	Slovenske Konjice	705
SI-3211	3211	Škofja vas	705
SI-3212	3212	Vojnik	705
SI-3213	3213	Frankolovo	705
SI-3214	3214	Zreče	705
SI-3215	3215	Loče	705
SI-3220	3220	Štore	705
SI-3221	3221	Teharje	705
SI-3222	3222	Dramlje	705
